date,league,home_team,away_team,home_odds,draw_odds,away_odds,source,home_form,away_form,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_possession,away_possession,home_shots,away_shots,over_under_2.5,btts_yes,btts_no
2025-04-19,Premier League,Manchester City,Liverpool,2.92,4.38,1.86,SofaScore,W1D0L0,W4D2L2,1.0,0.0,0.0,4.0,2.0,2.0,,,,,,,
2025-04-19,Premier League,Chelsea,Arsenal,2.52,3.05,3.8,SofaScore,W4D1L2,W3D1L2,4.0,1.0,2.0,3.0,1.0,2.0,,,,,,,
2025-04-19,La Liga,Real Madrid,Barcelona,2.69,3.68,2.73,SofaScore,W4D1L2,W4D2L2,4.0,1.0,2.0,4.0,2.0,2.0,,,,,,,
2025-04-19,La Liga,Atletico Madrid,Sevilla,1.84,2.88,1.53,SofaScore,W4D2L2,W3D0L1,4.0,2.0,2.0,3.0,0.0,1.0,,,,,,,
2025-04-19,Serie A,Inter,Milan,3.25,3.98,1.95,SofaScore,W4D1L1,W4D0L3,4.0,1.0,1.0,4.0,0.0,3.0,,,,,,,
2025-04-19,Serie A,Juventus,Napoli,1.86,3.71,2.27,SofaScore,W1D0L0,W2D1L3,1.0,0.0,0.0,2.0,1.0,3.0,,,,,,,
2025-04-19,Bundesliga,Bayern Munich,Dortmund,3.01,2.92,1.62,SofaScore,W3D2L3,W3D0L1,3.0,2.0,3.0,3.0,0.0,1.0,,,,,,,
2025-04-19,Bundesliga,Leipzig,Leverkusen,2.85,2.04,3.09,SofaScore,W3D2L2,W2D1L0,3.0,2.0,2.0,2.0,1.0,0.0,,,,,,,
2025-04-19,Ligue 1,PSG,Marseille,3.26,3.62,1.75,SofaScore,W5D0L3,W2D2L3,5.0,0.0,3.0,2.0,2.0,3.0,,,,,,,
2025-04-19,Ligue 1,Lyon,Monaco,3.48,2.21,1.53,SofaScore,W1D0L1,W2D1L1,1.0,0.0,1.0,2.0,1.0,1.0,,,,,,,
2025-04-20,Premier League,Manchester City,Liverpool,2.16,2.57,2.6,SofaScore,W3D2L3,W1D1L2,3.0,2.0,3.0,1.0,1.0,2.0,,,,,,,
2025-04-20,Premier League,Chelsea,Arsenal,3.6,4.8,2.68,SofaScore,W5D0L2,W1D1L0,5.0,0.0,2.0,1.0,1.0,0.0,,,,,,,
2025-04-20,La Liga,Real Madrid,Barcelona,2.81,4.77,1.59,SofaScore,W1D1L2,W5D2L1,1.0,1.0,2.0,5.0,2.0,1.0,,,,,,,
2025-04-20,La Liga,Atletico Madrid,Sevilla,3.06,4.76,3.29,SofaScore,W2D0L2,W5D0L0,2.0,0.0,2.0,5.0,0.0,0.0,,,,,,,
2025-04-20,Serie A,Inter,Milan,3.76,4.06,3.18,SofaScore,W5D0L2,W2D0L0,5.0,0.0,2.0,2.0,0.0,0.0,,,,,,,
2025-04-20,Serie A,Juventus,Napoli,2.31,4.96,2.91,SofaScore,W3D1L0,W2D1L2,3.0,1.0,0.0,2.0,1.0,2.0,,,,,,,
2025-04-20,Bundesliga,Bayern Munich,Dortmund,3.92,4.98,1.84,SofaScore,W3D2L2,W1D0L0,3.0,2.0,2.0,1.0,0.0,0.0,,,,,,,
2025-04-20,Bundesliga,Leipzig,Leverkusen,3.56,4.68,2.33,SofaScore,W4D0L0,W5D2L3,4.0,0.0,0.0,5.0,2.0,3.0,,,,,,,
