asian_handicap,away_form,away_odds,away_possession,away_shots,away_team,btts_no,btts_yes,date,draw_odds,home_form,home_odds,home_possession,home_shots,home_team,league,over_under_2.5,source,time
,W4D2L2,1.86,,,Liverpool,,,2025-04-19,4.38,W1D0L0,2.92,,,Manchester City,Premier League,,SofaScore,20:00
,W3D1L2,3.8,,,Arsenal,,,2025-04-19,3.05,W4D1L2,2.52,,,Chelsea,Premier League,,SofaScore,14:00
,W4D2L2,2.73,,,Barcelona,,,2025-04-19,3.68,W4D1L2,2.69,,,Real Madrid,La Liga,,SofaScore,12:00
,W3D0L1,1.53,,,Sevilla,,,2025-04-19,2.88,W4D2L2,1.84,,,Atletico Madrid,La Liga,,SofaScore,17:00
,W4D0L3,1.95,,,Milan,,,2025-04-19,3.98,W4D1L1,3.25,,,Inter,Serie A,,SofaScore,19:00
,W2D1L3,2.27,,,Napoli,,,2025-04-19,3.71,W1D0L0,1.86,,,Juventus,Serie A,,SofaScore,17:00
,W3D0L1,1.62,,,Dortmund,,,2025-04-19,2.92,W3D2L3,3.01,,,Bayern Munich,Bundesliga,,SofaScore,15:00
,W2D1L0,3.09,,,Leverkusen,,,2025-04-19,2.04,W3D2L2,2.85,,,Leipzig,Bundesliga,,SofaScore,18:00
,W2D2L3,1.75,,,Marseille,,,2025-04-19,3.62,W5D0L3,3.26,,,PSG,Ligue 1,,SofaScore,13:00
,W2D1L1,1.53,,,Monaco,,,2025-04-19,2.21,W1D0L1,3.48,,,Lyon,Ligue 1,,SofaScore,20:00
,W1D1L2,2.6,,,Liverpool,,,2025-04-20,2.57,W3D2L3,2.16,,,Manchester City,Premier League,,SofaScore,14:00
,W1D1L0,2.68,,,Arsenal,,,2025-04-20,4.8,W5D0L2,3.6,,,Chelsea,Premier League,,SofaScore,20:00
,W5D2L1,1.59,,,Barcelona,,,2025-04-20,4.77,W1D1L2,2.81,,,Real Madrid,La Liga,,SofaScore,20:00
,W5D0L0,3.29,,,Sevilla,,,2025-04-20,4.76,W2D0L2,3.06,,,Atletico Madrid,La Liga,,SofaScore,17:00
,W2D0L0,3.18,,,Milan,,,2025-04-20,4.06,W5D0L2,3.76,,,Inter,Serie A,,SofaScore,16:00
,W2D1L2,2.91,,,Napoli,,,2025-04-20,4.96,W3D1L0,2.31,,,Juventus,Serie A,,SofaScore,14:00
,W1D0L0,1.84,,,Dortmund,,,2025-04-20,4.98,W3D2L2,3.92,,,Bayern Munich,Bundesliga,,SofaScore,13:00
,W5D2L3,2.33,,,Leverkusen,,,2025-04-20,4.68,W4D0L0,3.56,,,Leipzig,Bundesliga,,SofaScore,16:00
,W3D1L0,2.35,,,Marseille,,,2025-04-20,2.17,W2D2L2,1.99,,,PSG,Ligue 1,,SofaScore,21:00
,W5D2L2,2.09,,,Monaco,,,2025-04-20,3.04,W1D0L0,2.0,,,Lyon,Ligue 1,,SofaScore,12:00
,W1D2L2,2.41,,,Liverpool,,,2025-04-21,2.46,W4D2L0,3.61,,,Manchester City,Premier League,,SofaScore,12:00
,W3D1L2,2.24,,,Arsenal,,,2025-04-21,3.03,W3D2L0,1.66,,,Chelsea,Premier League,,SofaScore,20:00
,W5D0L3,3.57,,,Barcelona,,,2025-04-21,2.26,W3D1L0,2.18,,,Real Madrid,La Liga,,SofaScore,13:00
,W1D1L0,3.91,,,Sevilla,,,2025-04-21,2.25,W4D1L3,2.32,,,Atletico Madrid,La Liga,,SofaScore,18:00
,W5D0L2,1.94,,,Milan,,,2025-04-21,3.15,W3D1L0,2.76,,,Inter,Serie A,,SofaScore,15:00
,W4D0L1,2.51,,,Napoli,,,2025-04-21,2.9,W3D0L3,2.83,,,Juventus,Serie A,,SofaScore,18:00
,W5D1L2,2.38,,,Dortmund,,,2025-04-21,4.29,W4D2L2,1.83,,,Bayern Munich,Bundesliga,,SofaScore,12:00
,W4D1L1,1.64,,,Leverkusen,,,2025-04-21,3.75,W1D1L1,2.0,,,Leipzig,Bundesliga,,SofaScore,19:00
,W1D0L2,1.93,,,Marseille,,,2025-04-21,4.61,W3D2L1,3.48,,,PSG,Ligue 1,,SofaScore,18:00
,W1D1L3,2.22,,,Monaco,,,2025-04-21,2.95,W4D0L1,2.57,,,Lyon,Ligue 1,,SofaScore,13:00
,W4D0L2,2.68,,,Liverpool,,,2025-04-22,2.31,W3D1L2,3.6,,,Manchester City,Premier League,,SofaScore,17:00
,W3D1L2,3.4,,,Arsenal,,,2025-04-22,4.15,W5D2L0,3.86,,,Chelsea,Premier League,,SofaScore,17:00
,W5D2L0,2.86,,,Barcelona,,,2025-04-22,4.53,W1D1L1,3.17,,,Real Madrid,La Liga,,SofaScore,19:00
,W3D2L2,2.6,,,Sevilla,,,2025-04-22,3.34,W5D2L2,3.0,,,Atletico Madrid,La Liga,,SofaScore,16:00
,W3D0L0,3.27,,,Milan,,,2025-04-22,4.2,W4D0L3,3.36,,,Inter,Serie A,,SofaScore,21:00
,W5D2L3,1.91,,,Napoli,,,2025-04-22,2.97,W2D1L3,3.18,,,Juventus,Serie A,,SofaScore,20:00
,W1D0L3,2.08,,,Dortmund,,,2025-04-22,3.9,W1D2L0,3.99,,,Bayern Munich,Bundesliga,,SofaScore,18:00
,W2D1L3,3.42,,,Leverkusen,,,2025-04-22,4.07,W1D2L0,3.71,,,Leipzig,Bundesliga,,SofaScore,14:00
,W3D0L1,1.91,,,Marseille,,,2025-04-22,4.19,W1D1L3,2.07,,,PSG,Ligue 1,,SofaScore,15:00
,W2D0L3,3.92,,,Monaco,,,2025-04-22,3.5,W1D1L2,2.26,,,Lyon,Ligue 1,,SofaScore,20:00
,W1D2L2,3.63,,,Liverpool,,,2025-04-23,2.54,W4D1L0,1.92,,,Manchester City,Premier League,,SofaScore,19:00
,W4D1L2,2.78,,,Arsenal,,,2025-04-23,4.1,W3D2L1,3.48,,,Chelsea,Premier League,,SofaScore,20:00
,W1D2L1,2.31,,,Barcelona,,,2025-04-23,2.54,W5D1L1,3.6,,,Real Madrid,La Liga,,SofaScore,14:00
,W2D0L1,2.56,,,Sevilla,,,2025-04-23,2.99,W3D1L0,3.64,,,Atletico Madrid,La Liga,,SofaScore,19:00
,W4D1L1,2.82,,,Milan,,,2025-04-23,2.87,W5D1L1,2.34,,,Inter,Serie A,,SofaScore,21:00
,W4D2L3,3.66,,,Napoli,,,2025-04-23,4.75,W5D2L3,2.27,,,Juventus,Serie A,,SofaScore,20:00
,W1D0L2,2.55,,,Dortmund,,,2025-04-23,3.89,W2D1L1,3.03,,,Bayern Munich,Bundesliga,,SofaScore,20:00
,W1D1L1,3.34,,,Leverkusen,,,2025-04-23,2.46,W2D2L3,3.91,,,Leipzig,Bundesliga,,SofaScore,18:00
,W1D2L2,2.24,,,Marseille,,,2025-04-23,2.91,W4D1L1,3.79,,,PSG,Ligue 1,,SofaScore,20:00
,W4D0L2,3.57,,,Monaco,,,2025-04-23,4.02,W5D1L3,3.56,,,Lyon,Ligue 1,,SofaScore,18:00
,W1D2L1,2.39,,,Liverpool,,,2025-04-24,4.06,W3D0L2,2.46,,,Manchester City,Premier League,,SofaScore,15:00
,W4D2L3,1.81,,,Arsenal,,,2025-04-24,4.13,W2D1L3,3.11,,,Chelsea,Premier League,,SofaScore,19:00
,W5D2L3,2.48,,,Barcelona,,,2025-04-24,2.01,W4D2L0,2.37,,,Real Madrid,La Liga,,SofaScore,19:00
,W2D2L3,1.78,,,Sevilla,,,2025-04-24,3.99,W3D0L1,3.15,,,Atletico Madrid,La Liga,,SofaScore,12:00
,W3D1L2,1.74,,,Milan,,,2025-04-24,3.87,W2D0L3,3.71,,,Inter,Serie A,,SofaScore,17:00
,W4D0L2,3.41,,,Napoli,,,2025-04-24,4.63,W4D1L1,2.1,,,Juventus,Serie A,,SofaScore,19:00
,W3D2L2,3.44,,,Dortmund,,,2025-04-24,3.46,W4D2L2,3.59,,,Bayern Munich,Bundesliga,,SofaScore,20:00
,W4D2L3,1.5,,,Leverkusen,,,2025-04-24,4.06,W4D2L3,2.99,,,Leipzig,Bundesliga,,SofaScore,12:00
,W2D0L2,1.9,,,Marseille,,,2025-04-24,2.26,W1D0L1,1.58,,,PSG,Ligue 1,,SofaScore,15:00
,W4D1L1,2.37,,,Monaco,,,2025-04-24,4.63,W3D2L3,3.92,,,Lyon,Ligue 1,,SofaScore,14:00
,W5D0L1,3.5,,,Liverpool,,,2025-04-25,4.13,W1D1L1,2.32,,,Manchester City,Premier League,,SofaScore,21:00
,W4D1L3,1.93,,,Arsenal,,,2025-04-25,2.68,W2D1L0,2.96,,,Chelsea,Premier League,,SofaScore,15:00
,W1D1L3,3.35,,,Barcelona,,,2025-04-25,2.19,W5D1L0,1.53,,,Real Madrid,La Liga,,SofaScore,20:00
,W2D0L1,1.61,,,Sevilla,,,2025-04-25,3.6,W4D0L0,2.68,,,Atletico Madrid,La Liga,,SofaScore,14:00
,W1D0L2,3.5,,,Milan,,,2025-04-25,3.38,W4D1L1,2.48,,,Inter,Serie A,,SofaScore,14:00
,W4D1L3,1.75,,,Napoli,,,2025-04-25,2.02,W4D1L0,3.67,,,Juventus,Serie A,,SofaScore,21:00
,W1D1L0,2.16,,,Dortmund,,,2025-04-25,3.7,W5D1L0,1.87,,,Bayern Munich,Bundesliga,,SofaScore,14:00
,W3D1L2,1.67,,,Leverkusen,,,2025-04-25,3.32,W2D0L1,3.56,,,Leipzig,Bundesliga,,SofaScore,13:00
,W1D1L1,3.23,,,Marseille,,,2025-04-25,4.86,W2D2L2,1.67,,,PSG,Ligue 1,,SofaScore,19:00
,W5D0L2,3.15,,,Monaco,,,2025-04-25,3.88,W1D2L0,2.34,,,Lyon,Ligue 1,,SofaScore,20:00
,,3.51,,,AZ Alkmaar,,,2025-04-19,4.42,,3.5,,,Feyenoord,Eredivisie,,FlashScore,21:00
,,2.12,,,Guimaraes,,,2025-04-23,4.28,,2.01,,,Sporting CP,Primeira Liga,,FlashScore,21:00
,,2.02,,,Manchester City,,,2025-04-22,3.29,,2.9,,,Liverpool,Premier League,,FlashScore,18:00
,,3.02,,,Dortmund,,,2025-04-25,3.11,,3.69,,,Bayern Munich,Bundesliga,,FlashScore,14:00
,,3.88,,,Roma,,,2025-04-24,2.15,,2.83,,,Napoli,Serie A,,FlashScore,12:00
,,2.3,,,Twente,,,2025-04-19,2.04,,3.92,,,Utrecht,Eredivisie,,FlashScore,13:00
,,3.58,,,AZ Alkmaar,,,2025-04-22,2.15,,2.71,,,Twente,Eredivisie,,FlashScore,17:00
,,3.51,,,Arsenal,,,2025-04-21,4.86,,2.84,,,Manchester United,Premier League,,FlashScore,20:00
,,3.91,,,PSV,,,2025-04-23,4.32,,3.51,,,Twente,Eredivisie,,FlashScore,12:00
,,3.08,,,Sevilla,,,2025-04-21,4.9,,3.47,,,Real Madrid,La Liga,,FlashScore,19:00
,,3.38,,,NYCFC,,,2025-04-22,2.53,,2.56,,,LA Galaxy,MLS,,FlashScore,17:00
,,3.13,,,Vitoria,,,2025-04-25,3.71,,3.88,,,Porto,Primeira Liga,,FlashScore,12:00
,,2.96,,,Lille,,,2025-04-22,3.93,,3.13,,,Rennes,Ligue 1,,FlashScore,12:00
,,3.73,,,Inter,,,2025-04-25,4.37,,1.86,,,Juventus,Serie A,,FlashScore,13:00
,,3.88,,,NYCFC,,,2025-04-25,4.22,,3.2,,,Inter Miami,MLS,,FlashScore,18:00
,,2.34,,,Real Madrid,,,2025-04-20,4.61,,3.92,,,Villarreal,La Liga,,FlashScore,21:00
,,3.09,,,Hibernian,,,2025-04-20,3.72,,2.82,,,Dundee United,Scottish Premiership,,FlashScore,20:00
,,1.61,,,Hearts,,,2025-04-22,4.31,,1.92,,,Rangers,Scottish Premiership,,FlashScore,15:00
,,3.98,,,Sheffield United,,,2025-04-23,4.87,,2.06,,,Burnley,Championship,,FlashScore,13:00
,,3.82,,,Rennes,,,2025-04-23,4.77,,1.63,,,Lyon,Ligue 1,,FlashScore,18:00
,,2.31,,,Vitoria,,,2025-04-22,4.02,,3.55,,,Guimaraes,Primeira Liga,,FlashScore,20:00
,,3.52,,,Juventus,,,2025-04-20,3.56,,3.32,,,Lazio,Serie A,,FlashScore,21:00
,,2.49,,,Watford,,,2025-04-24,2.83,,2.49,,,Burnley,Championship,,FlashScore,12:00
,,3.14,,,Seattle Sounders,,,2025-04-24,4.89,,2.88,,,NYCFC,MLS,,FlashScore,15:00
,,3.07,,,Toronto FC,,,2025-04-22,4.7,,3.12,,,LA Galaxy,MLS,,FlashScore,14:00
,,3.89,,,Napoli,,,2025-04-24,3.81,,3.28,,,Inter,Serie A,,FlashScore,17:00
,,2.08,,,Inter Miami,,,2025-04-23,3.49,,3.94,,,Atlanta United,MLS,,FlashScore,18:00
,,2.24,,,Sporting CP,,,2025-04-26,4.59,,1.78,,,Porto,Primeira Liga,,FlashScore,17:00
,,3.56,,,Frankfurt,,,2025-04-21,4.09,,2.68,,,Wolfsburg,Bundesliga,,FlashScore,12:00
,,3.56,,,NYCFC,,,2025-04-26,3.39,,3.35,,,Inter Miami,MLS,,FlashScore,21:00
,,1.86,,,Bayern Munich,,,2025-04-24,4.35,,3.23,,,Dortmund,Bundesliga,,FlashScore,20:00
,,3.32,,,Hibernian,,,2025-04-21,2.25,,3.19,,,Rangers,Scottish Premiership,,FlashScore,18:00
,,3.57,,,PSV,,,2025-04-20,2.7,,2.23,,,Utrecht,Eredivisie,,FlashScore,13:00
,,3.99,,,Hibernian,,,2025-04-20,4.37,,3.66,,,Hearts,Scottish Premiership,,FlashScore,20:00
,,2.75,,,Marseille,,,2025-04-23,2.38,,2.08,,,Lille,Ligue 1,,FlashScore,16:00
,,2.3,,,Norwich,,,2025-04-23,4.22,,1.62,,,Sheffield United,Championship,,FlashScore,21:00
,,2.52,,,Monaco,,,2025-04-26,2.52,,2.87,,,Lille,Ligue 1,,FlashScore,19:00
,,3.77,,,Sheffield United,,,2025-04-25,3.48,,1.76,,,Norwich,Championship,,FlashScore,21:00
,,2.4,,,Inter Miami,,,2025-04-22,4.58,,1.58,,,Toronto FC,MLS,,FlashScore,18:00
,,2.99,,,Braga,,,2025-04-22,3.49,,3.5,,,Vitoria,Primeira Liga,,FlashScore,13:00
,W2D2L1,1.7,44%,16,Frankfurt,,,2025-04-26,4.1,W2D2L3,3.65,48%,7,Dortmund,Bundesliga,,FootyStats,17:00
,W3D0L3,2.13,48%,13,Manchester United,,,2025-04-26,4.82,W5D2L1,3.55,47%,11,Chelsea,Premier League,,FootyStats,12:00
,W4D0L3,3.05,54%,19,Arsenal,,,2025-04-26,4.18,W4D2L3,2.24,42%,19,Manchester City,Premier League,,FootyStats,17:00
,W2D0L2,1.98,60%,9,Sporting CP,,,2025-04-22,4.62,W5D0L2,3.52,52%,18,Braga,Primeira Liga,,FootyStats,21:00
,W2D1L1,2.27,60%,14,Middlesbrough,,,2025-04-19,4.2,W2D2L0,1.61,50%,15,Norwich,Championship,,FootyStats,14:00
,W4D0L2,2.46,45%,13,Rangers,,,2025-04-23,2.5,W3D2L1,2.67,59%,18,Dundee United,Scottish Premiership,,FootyStats,20:00
,W1D1L0,2.5,59%,7,NYCFC,,,2025-04-26,3.85,W3D0L1,3.58,47%,14,LA Galaxy,MLS,,FootyStats,17:00
,W1D1L2,3.73,57%,9,Rangers,,,2025-04-21,3.37,W1D0L0,2.1,45%,20,Aberdeen,Scottish Premiership,,FootyStats,21:00
,W4D1L2,1.8,55%,9,Villarreal,,,2025-04-26,2.49,W3D2L0,3.79,51%,14,Atletico Madrid,La Liga,,FootyStats,12:00
,W5D1L3,3.5,44%,17,Chelsea,,,2025-04-21,2.16,W3D1L0,3.83,44%,7,Manchester United,Premier League,,FootyStats,20:00
,W2D1L1,2.9,51%,19,Porto,,,2025-04-20,4.23,W5D2L3,1.72,43%,11,Benfica,Primeira Liga,,FootyStats,13:00
,W3D1L0,2.2,41%,17,Chelsea,,,2025-04-25,2.21,W2D2L2,3.74,42%,11,Arsenal,Premier League,,FootyStats,14:00
,W2D1L0,3.32,46%,17,Vitoria,,,2025-04-21,4.5,W2D0L3,3.32,56%,13,Benfica,Primeira Liga,,FootyStats,14:00
,W4D1L1,2.23,47%,6,Liverpool,,,2025-04-24,4.94,W1D0L2,1.72,57%,9,Chelsea,Premier League,,FootyStats,19:00
,W5D0L2,2.33,60%,14,Inter,,,2025-04-22,4.56,W2D1L2,3.39,40%,11,Roma,Serie A,,FootyStats,16:00
,W1D2L3,2.35,59%,9,Feyenoord,,,2025-04-26,2.3,W2D0L3,3.88,55%,17,AZ Alkmaar,Eredivisie,,FootyStats,19:00
,W1D2L2,2.34,57%,19,Atletico Madrid,,,2025-04-22,4.05,W5D0L2,3.99,45%,16,Real Madrid,La Liga,,FootyStats,20:00
,W5D1L2,2.54,45%,18,Juventus,,,2025-04-25,4.73,W3D0L0,3.8,51%,9,Milan,Serie A,,FootyStats,17:00
,W5D1L1,1.52,41%,11,Braga,,,2025-04-25,4.07,W3D2L1,2.91,44%,16,Vitoria,Primeira Liga,,FootyStats,17:00
,W5D0L0,2.97,57%,7,Wolfsburg,,,2025-04-26,4.01,W3D2L3,1.92,51%,13,Frankfurt,Bundesliga,,FootyStats,19:00
,W2D2L2,3.94,46%,6,Porto,,,2025-04-20,4.45,W5D2L2,3.76,55%,12,Benfica,Primeira Liga,,FootyStats,14:00
,W4D1L1,3.16,40%,18,Napoli,,,2025-04-21,4.11,W3D1L0,3.14,46%,16,Roma,Serie A,,FootyStats,21:00
,W3D0L3,3.15,48%,11,Milan,,,2025-04-23,4.36,W2D1L1,1.78,45%,10,Lazio,Serie A,,FootyStats,21:00
,W1D0L2,3.58,46%,16,Porto,,,2025-04-21,4.54,W5D1L2,2.17,43%,14,Benfica,Primeira Liga,,FootyStats,20:00
,W3D0L1,2.4,50%,8,Manchester City,,,2025-04-21,2.81,W5D1L0,2.37,55%,14,Chelsea,Premier League,,FootyStats,15:00
,W5D1L0,1.96,44%,15,Twente,,,2025-04-19,3.43,W4D0L2,2.71,45%,9,Ajax,Eredivisie,,WhoScored,19:00
,W4D2L2,2.55,55%,20,Porto,,,2025-04-22,2.64,W4D2L0,1.96,50%,9,Braga,Primeira Liga,,WhoScored,20:00
,W4D2L3,3.03,48%,19,Hearts,,,2025-04-19,3.37,W3D2L0,1.55,46%,9,Aberdeen,Scottish Premiership,,WhoScored,18:00
,W4D1L3,3.8,56%,6,Feyenoord,,,2025-04-25,2.1,W3D2L2,3.68,42%,5,AZ Alkmaar,Eredivisie,,WhoScored,17:00
,W3D1L0,3.53,47%,5,Aberdeen,,,2025-04-24,2.64,W5D0L3,3.58,58%,6,Hearts,Scottish Premiership,,WhoScored,12:00
,W5D2L2,3.85,54%,18,Leverkusen,,,2025-04-21,3.17,W1D1L3,3.37,45%,13,Frankfurt,Bundesliga,,WhoScored,18:00
,W4D1L0,1.95,50%,12,Aberdeen,,,2025-04-19,2.17,W4D1L3,1.76,48%,8,Celtic,Scottish Premiership,,WhoScored,21:00
,W5D0L2,3.11,51%,8,Roma,,,2025-04-21,3.46,W5D2L2,3.07,50%,5,Lazio,Serie A,,WhoScored,12:00
,W1D2L3,2.48,47%,19,Real Sociedad,,,2025-04-25,2.61,W2D0L0,3.57,55%,20,Atletico Madrid,La Liga,,WhoScored,12:00
,W2D1L2,2.64,42%,9,Monaco,,,2025-04-24,4.54,W4D1L0,1.59,56%,13,Lille,Ligue 1,,WhoScored,17:00
